"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1697","User login with correct email and password","LMS system","Sat Nov 29 18:59:55 UTC 2025","passed","Sat Nov 29 18:59:57 UTC 2025","Dashboard","Dashboard","",""
"","1682","User login with wrong email or password","LMS system","Sat Nov 29 18:59:13 UTC 2025","passed","Sat Nov 29 18:59:14 UTC 2025","Authorization","Authentication","",""
"","1238","Navigation from login page to registration page","LMS system","Sat Nov 29 18:59:27 UTC 2025","passed","Sat Nov 29 18:59:28 UTC 2025","Authorization","Authentication","",""
"","2280","Create course","LMS system","Sat Nov 29 18:59:46 UTC 2025","passed","Sat Nov 29 18:59:49 UTC 2025","Courses","Courses","",""
"","1948","Registration with correct email, username and password","LMS system","Sat Nov 29 18:59:28 UTC 2025","passed","Sat Nov 29 18:59:30 UTC 2025","Registration","Authentication","",""
"","1687","User login with wrong email or password","LMS system","Sat Nov 29 18:59:08 UTC 2025","passed","Sat Nov 29 18:59:10 UTC 2025","Authorization","Authentication","",""
"","1424","Check displaying of empty courses list","LMS system","Sat Nov 29 18:59:40 UTC 2025","passed","Sat Nov 29 18:59:42 UTC 2025","Courses","Courses","",""
"","3358","Create course","LMS system","Sat Nov 29 18:59:50 UTC 2025","passed","Sat Nov 29 18:59:54 UTC 2025","Courses","Courses","",""
"","1691","User login with wrong email or password","LMS system","Sat Nov 29 18:59:03 UTC 2025","passed","Sat Nov 29 18:59:05 UTC 2025","Authorization","Authentication","",""
"","1609","User login with wrong email or password","LMS system","Sat Nov 29 18:59:11 UTC 2025","passed","Sat Nov 29 18:59:12 UTC 2025","Authorization","Authentication","",""
"","1810","User login with correct email and password","LMS system","Sat Nov 29 18:59:57 UTC 2025","passed","Sat Nov 29 18:59:59 UTC 2025","Dashboard","Dashboard","",""
"","6441","Check displaying of dashboard page","LMS system","Sat Nov 29 18:59:08 UTC 2025","passed","Sat Nov 29 18:59:14 UTC 2025","Authorization","Authentication","",""
"","2202","User login with wrong email or password","LMS system","Sat Nov 29 18:59:20 UTC 2025","passed","Sat Nov 29 18:59:23 UTC 2025","Authorization","Authentication","",""
"","2954","Create course","LMS system","Sat Nov 29 18:59:50 UTC 2025","passed","Sat Nov 29 18:59:53 UTC 2025","Courses","Courses","",""
"","1726","User login with wrong email or password","LMS system","Sat Nov 29 18:59:01 UTC 2025","passed","Sat Nov 29 18:59:03 UTC 2025","Authorization","Authentication","",""
"","1991","Check displaying of empty courses list","LMS system","Sat Nov 29 18:59:44 UTC 2025","passed","Sat Nov 29 18:59:46 UTC 2025","Courses","Courses","",""
"","1280","Check displaying of empty courses list","LMS system","Sat Nov 29 18:59:47 UTC 2025","passed","Sat Nov 29 18:59:48 UTC 2025","Courses","Courses","",""
"","3340","Check displaying of dashboard page","LMS system","Sat Nov 29 18:59:17 UTC 2025","passed","Sat Nov 29 18:59:20 UTC 2025","Authorization","Authentication","",""
"","2076","Registration with correct email, username and password","LMS system","Sat Nov 29 18:59:30 UTC 2025","passed","Sat Nov 29 18:59:32 UTC 2025","Registration","Authentication","",""
"","1997","User login with wrong email or password","LMS system","Sat Nov 29 18:59:22 UTC 2025","passed","Sat Nov 29 18:59:24 UTC 2025","Authorization","Authentication","",""
"","4339","Edit course","LMS system","Sat Nov 29 18:59:35 UTC 2025","passed","Sat Nov 29 18:59:40 UTC 2025","Courses","Courses","",""
"","1515","User login with correct email and password","LMS system","Sat Nov 29 18:59:53 UTC 2025","passed","Sat Nov 29 18:59:55 UTC 2025","Dashboard","Dashboard","",""
"","1325","User login with wrong email or password","LMS system","Sat Nov 29 18:59:05 UTC 2025","passed","Sat Nov 29 18:59:06 UTC 2025","Authorization","Authentication","",""
"","1342","Navigation from login page to registration page","LMS system","Sat Nov 29 18:59:25 UTC 2025","passed","Sat Nov 29 18:59:26 UTC 2025","Authorization","Authentication","",""
"","3699","Edit course","LMS system","Sat Nov 29 18:59:42 UTC 2025","passed","Sat Nov 29 18:59:45 UTC 2025","Courses","Courses","",""
"","4077","Edit course","LMS system","Sat Nov 29 18:59:35 UTC 2025","passed","Sat Nov 29 18:59:40 UTC 2025","Courses","Courses","",""
"","3171","Check displaying of dashboard page","LMS system","Sat Nov 29 18:59:01 UTC 2025","passed","Sat Nov 29 18:59:04 UTC 2025","Authorization","Authentication","",""
"","2914","Registration with correct email, username and password","LMS system","Sat Nov 29 18:59:30 UTC 2025","passed","Sat Nov 29 18:59:33 UTC 2025","Registration","Authentication","",""
"","2086","Navigation from login page to registration page","LMS system","Sat Nov 29 18:59:25 UTC 2025","passed","Sat Nov 29 18:59:27 UTC 2025","Authorization","Authentication","",""
"","2104","User login with wrong email or password","LMS system","Sat Nov 29 18:59:16 UTC 2025","passed","Sat Nov 29 18:59:18 UTC 2025","Authorization","Authentication","",""
